rim,tire,rim_mm,tire_mm,diameter_mm,circumference_mm
28inch,20mm,635,20.00,675.00,2120.58
28inch,23mm,635,23.00,681.00,2139.42
28inch,25mm,635,25.00,685.00,2151.99
28inch,26mm,635,26.00,687.00,2158.27
28inch,27mm,635,27.00,689.00,2164.56
28inch,28mm,635,28.00,691.00,2170.84
28inch,30mm,635,30.00,695.00,2183.41
28inch,32mm,635,32.00,699.00,2195.97
28inch,35mm,635,35.00,705.00,2214.82
28inch,37mm,635,37.00,709.00,2227.39
28inch,38mm,635,38.00,711.00,2233.67
28inch,40mm,635,40.00,715.00,2246.24
28inch,42mm,635,42.00,719.00,2258.81
28inch,44mm,635,44.00,723.00,2271.37
28inch,45mm,635,45.00,725.00,2277.65
28inch,50mm,635,50.00,735.00,2309.07
28inch,56mm,635,56.00,747.00,2346.77
28inch,1.00inch,635,25.40,685.80,2154.50
28inch,1.25inch,635,31.75,698.50,2194.40
28inch,1.35inch,635,34.29,703.58,2210.36
28inch,1.40inch,635,35.56,706.12,2218.34
28inch,1.50inch,635,38.10,711.20,2234.30
28inch,1.75inch,635,44.45,723.90,2274.20
28inch,1.90inch,635,48.26,731.52,2298.14
28inch,1.95inch,635,49.50,734.00,2305.93
28inch,2.00inch,635,50.80,736.60,2314.10
28inch,2.10inch,635,53.34,741.68,2330.06
28inch,2.125inch,635,54.00,743.00,2334.20
28inch,2.20inch,635,55.88,746.76,2346.02
28inch,2.25inch,635,57.15,749.30,2354.00
28inch,2.30inch,635,58.42,751.84,2361.98
28inch,2.35inch,635,59.69,754.38,2369.95
28inch,2.40inch,635,60.96,756.92,2377.93
28inch,2.50inch,635,63.50,762.00,2393.89
28inch,2.60inch,635,66.04,767.08,2409.85
28inch,2.75inch,635,69.85,774.70,2433.79
28inch,2.80inch,635,71.12,777.24,2441.77
28inch,3.00inch,635,76.20,787.40,2473.69
28inch,3.80inch,635,96.52,828.04,2601.36
28inch,4.00inch,635,101.60,838.20,2633.28
28inch,4.25inch,635,107.95,850.90,2673.18
28inch,4.50inch,635,114.30,863.60,2713.08
28inch,4.60inch,635,116.84,868.68,2729.04
28inch,4.70inch,635,119.38,873.76,2745.00
28inch,4.80inch,635,121.92,878.84,2760.96
28inch,4.90inch,635,124.46,883.92,2776.92
27inch,20mm,630,20.00,670.00,2104.87
27inch,23mm,630,23.00,676.00,2123.72
27inch,25mm,630,25.00,680.00,2136.28
27inch,26mm,630,26.00,682.00,2142.57
27inch,27mm,630,27.00,684.00,2148.85
27inch,28mm,630,28.00,686.00,2155.13
27inch,30mm,630,30.00,690.00,2167.70
27inch,32mm,630,32.00,694.00,2180.27
27inch,35mm,630,35.00,700.00,2199.11
27inch,37mm,630,37.00,704.00,2211.68
27inch,38mm,630,38.00,706.00,2217.96
27inch,40mm,630,40.00,710.00,2230.53
27inch,42mm,630,42.00,714.00,2243.10
27inch,44mm,630,44.00,718.00,2255.66
27inch,45mm,630,45.00,720.00,2261.95
27inch,50mm,630,50.00,730.00,2293.36
27inch,56mm,630,56.00,742.00,2331.06
27inch,1.00inch,630,25.40,680.80,2138.80
27inch,1.25inch,630,31.75,693.50,2178.69
27inch,1.35inch,630,34.29,698.58,2194.65
27inch,1.40inch,630,35.56,701.12,2202.63
27inch,1.50inch,630,38.10,706.20,2218.59
27inch,1.75inch,630,44.45,718.90,2258.49
27inch,1.90inch,630,48.26,726.52,2282.43
27inch,1.95inch,630,49.50,729.00,2290.22
27inch,2.00inch,630,50.80,731.60,2298.39
27inch,2.10inch,630,53.34,736.68,2314.35
27inch,2.125inch,630,54.00,738.00,2318.50
27inch,2.20inch,630,55.88,741.76,2330.31
27inch,2.25inch,630,57.15,744.30,2338.29
27inch,2.30inch,630,58.42,746.84,2346.27
27inch,2.35inch,630,59.69,749.38,2354.25
27inch,2.40inch,630,60.96,751.92,2362.23
27inch,2.50inch,630,63.50,757.00,2378.19
27inch,2.60inch,630,66.04,762.08,2394.14
27inch,2.75inch,630,69.85,769.70,2418.08
27inch,2.80inch,630,71.12,772.24,2426.06
27inch,3.00inch,630,76.20,782.40,2457.98
27inch,3.80inch,630,96.52,823.04,2585.66
27inch,4.00inch,630,101.60,833.20,2617.57
27inch,4.25inch,630,107.95,845.90,2657.47
27inch,4.50inch,630,114.30,858.60,2697.37
27inch,4.60inch,630,116.84,863.68,2713.33
27inch,4.70inch,630,119.38,868.76,2729.29
27inch,4.80inch,630,121.92,873.84,2745.25
27inch,4.90inch,630,124.46,878.92,2761.21
700c/29er,20mm,622,20.00,662.00,2079.73
700c/29er,23mm,622,23.00,668.00,2098.58
700c/29er,25mm,622,25.00,672.00,2111.15
700c/29er,26mm,622,26.00,674.00,2117.43
700c/29er,27mm,622,27.00,676.00,2123.72
700c/29er,28mm,622,28.00,678.00,2130.00
700c/29er,30mm,622,30.00,682.00,2142.57
700c/29er,32mm,622,32.00,686.00,2155.13
700c/29er,35mm,622,35.00,692.00,2173.98
700c/29er,37mm,622,37.00,696.00,2186.55
700c/29er,38mm,622,38.00,698.00,2192.83
700c/29er,40mm,622,40.00,702.00,2205.40
700c/29er,42mm,622,42.00,706.00,2217.96
700c/29er,44mm,622,44.00,710.00,2230.53
700c/29er,45mm,622,45.00,712.00,2236.81
700c/29er,50mm,622,50.00,722.00,2268.23
700c/29er,56mm,622,56.00,734.00,2305.93
700c/29er,1.00inch,622,25.40,672.80,2113.66
700c/29er,1.25inch,622,31.75,685.50,2153.56
700c/29er,1.35inch,622,34.29,690.58,2169.52
700c/29er,1.40inch,622,35.56,693.12,2177.50
700c/29er,1.50inch,622,38.10,698.20,2193.46
700c/29er,1.75inch,622,44.45,710.90,2233.36
700c/29er,1.90inch,622,48.26,718.52,2257.30
700c/29er,1.95inch,622,49.50,721.00,2265.09
700c/29er,2.00inch,622,50.80,723.60,2273.26
700c/29er,2.10inch,622,53.34,728.68,2289.22
700c/29er,2.125inch,622,54.00,730.00,2293.36
700c/29er,2.20inch,622,55.88,733.76,2305.18
700c/29er,2.25inch,622,57.15,736.30,2313.15
700c/29er,2.30inch,622,58.42,738.84,2321.13
700c/29er,2.35inch,622,59.69,741.38,2329.11
700c/29er,2.40inch,622,60.96,743.92,2337.09
700c/29er,2.50inch,622,63.50,749.00,2353.05
700c/29er,2.60inch,622,66.04,754.08,2369.01
700c/29er,2.75inch,622,69.85,761.70,2392.95
700c/29er,2.80inch,622,71.12,764.24,2400.93
700c/29er,3.00inch,622,76.20,774.40,2432.85
700c/29er,3.80inch,622,96.52,815.04,2560.52
700c/29er,4.00inch,622,101.60,825.20,2592.44
700c/29er,4.25inch,622,107.95,837.90,2632.34
700c/29er,4.50inch,622,114.30,850.60,2672.24
700c/29er,4.60inch,622,116.84,855.68,2688.20
700c/29er,4.70inch,622,119.38,860.76,2704.16
700c/29er,4.80inch,622,121.92,865.84,2720.12
700c/29er,4.90inch,622,124.46,870.92,2736.08
650b/27.5,20mm,584,20.00,624.00,1960.35
650b/27.5,23mm,584,23.00,630.00,1979.20
650b/27.5,25mm,584,25.00,634.00,1991.77
650b/27.5,26mm,584,26.00,636.00,1998.05
650b/27.5,27mm,584,27.00,638.00,2004.34
650b/27.5,28mm,584,28.00,640.00,2010.62
650b/27.5,30mm,584,30.00,644.00,2023.19
650b/27.5,32mm,584,32.00,648.00,2035.75
650b/27.5,35mm,584,35.00,654.00,2054.60
650b/27.5,37mm,584,37.00,658.00,2067.17
650b/27.5,38mm,584,38.00,660.00,2073.45
